Date,Adj Close,Volume
2015-08-06,17.153955,5488600
2015-08-07,17.078304,2283500
2015-08-10,17.692970,3169700
2015-08-11,17.220150,1743400
2015-08-12,17.749710,2180200
2015-08-13,17.513302,1270600
2015-08-14,17.484932,1360100
2015-08-17,17.749710,1045500
2015-08-18,17.919926,1868400
2015-08-19,18.411661,3721300
2015-08-20,17.749710,3609200
2015-08-21,17.447105,2384400
2015-08-24,16.293421,3703300
2015-08-25,16.170488,1725600
2015-08-26,16.605484,1544200
2015-08-27,16.822985,1544500
2015-08-28,16.945917,1360600
2015-08-31,16.832438,1393100
2015-09-01,16.293421,2239600
2015-09-02,16.340704,1492700
2015-09-03,16.567659,1791700
2015-09-04,16.718960,1269600
2015-09-08,16.794611,1238400
2015-09-09,17.172869,2519700
2015-09-10,17.229609,1595900
2015-09-11,17.172869,2270600
2015-09-14,17.229609,985600
2015-09-15,16.983742,1098800
2015-09-16,17.125589,1386100
2015-09-17,17.049938,1130300
2015-09-18,16.709505,1453400
2015-09-21,16.737873,1137300
2015-09-22,16.548746,1161500
2015-09-23,16.577116,1118100
2015-09-24,17.087765,2686600
2015-09-25,17.279116,2001300
2015-09-28,16.963381,1646800
2015-09-29,16.724194,1409800
2015-09-30,17.039923,1354700
2015-10-01,17.126032,2014900
2015-10-02,17.795767,1551900
2015-10-05,17.987118,944100
2015-10-06,17.948847,753100
2015-10-07,18.130632,1257600
2015-10-08,18.293283,1109400
2015-10-09,17.365221,4223700
2015-10-12,17.508736,2337300
2015-10-13,17.881872,2648400
2015-10-14,17.881872,1497300
2015-10-15,17.958416,844300
2015-10-16,17.910574,882200
2015-10-19,17.910574,786400
2015-10-20,18.063658,923300
2015-10-21,18.140200,1622000
2015-10-22,18.522903,1287700
2015-10-23,18.790796,1695800
2015-10-26,19.020418,1321800
2015-10-27,18.972582,1381700
2015-10-28,19.144800,1220500
2015-10-29,19.020418,843300
2015-10-30,19.068258,1332200
2015-11-02,19.307451,1517200
2015-11-03,18.934311,1068100
2015-11-04,18.675985,1770600
2015-11-05,17.508736,9447000
2015-11-06,17.355654,2702200
2015-11-09,17.135599,4616700
2015-11-10,17.240845,1916300
2015-11-11,17.298250,995200
2015-11-12,17.049492,2687500
2015-11-13,16.666788,1124400
2015-11-16,16.532841,1469000
2015-11-17,16.226675,1551200
2015-11-18,16.504137,1047000
2015-11-19,16.398891,899600
2015-11-20,16.580679,916300
2015-11-23,16.676355,886100
2015-11-24,16.896408,983600
2015-11-25,16.934679,552200
2015-11-27,16.858139,219300
2015-11-30,16.752897,962800
2015-12-01,17.068626,935700
2015-12-02,16.925114,803700
2015-12-03,16.886841,1166300
2015-12-04,17.001654,610000
2015-12-07,17.020790,807000
2015-12-08,16.915545,627200
2015-12-09,17.078196,1230300
2015-12-10,17.135599,1027400
2015-12-11,17.001654,1748200
2015-12-14,17.298250,1808200
2015-12-15,17.719227,2021900
2015-12-16,18.121067,1829900
2015-12-17,17.901007,1079300
2015-12-18,17.872305,1613300
2015-12-21,18.054092,1296800
2015-12-22,18.551605,2115000
2015-12-23,18.943878,1462700
2015-12-24,19.125662,845400
2015-12-28,19.278748,1060400
2015-12-29,19.269178,753900
2015-12-30,19.010853,811100
2015-12-31,18.838636,980200
2016-01-04,18.551605,1655500
2016-01-05,18.733393,753600
2016-01-06,18.723824,952000
2016-01-07,18.427229,1015800
2016-01-08,18.350687,667200
2016-01-11,18.159334,1586400
2016-01-12,17.939278,1061600
2016-01-13,17.639324,2052900
2016-01-14,17.126497,1666300
2016-01-15,16.932976,1486400
2016-01-19,17.387747,1446300
2016-01-20,17.339369,1448400
2016-01-21,17.484509,810200
2016-01-22,18.045715,926800
2016-01-25,17.803816,1002900
2016-01-26,18.258587,760500
2016-01-27,18.384377,1433500
2016-01-28,18.471458,1195900
2016-01-29,18.442432,1470400
2016-02-01,18.481134,684900
2016-02-02,18.007013,999900
2016-02-03,18.161829,944500
2016-02-04,17.890902,1405600
2016-02-05,17.707056,1226100
2016-02-08,17.087793,1203400
2016-02-09,16.932976,1424900
2016-02-10,17.107143,728400
2016-02-11,17.029739,631200
2016-02-12,17.358721,522200
2016-02-16,17.765112,838300
2016-02-17,18.268263,1451300
2016-02-18,18.268263,974900
2016-02-19,18.394051,1267400
2016-02-22,18.694008,1027400
2016-02-23,19.032665,1910500
2016-02-24,19.187483,2845700
2016-02-25,17.426455,6812600
2016-02-26,17.203905,2618500
2016-02-29,17.503860,1574200
2016-03-01,17.581268,1100200
2016-03-02,17.387747,1351500
2016-03-03,17.455482,1765600
2016-03-04,17.881224,1398200
2016-03-07,17.726408,877900
2016-03-08,17.184553,1048000
2016-03-09,17.000710,1564100
2016-03-10,17.020294,1156300
2016-03-11,16.932158,1483100
2016-03-14,17.039881,1040500
2016-03-15,16.697124,1277700
2016-03-16,16.765678,973400
2016-03-17,18.332561,3602400
2016-03-18,19.556690,7707800
2016-03-21,19.713379,1948600
2016-03-22,19.595863,1883800
2016-03-23,19.811310,1601800
2016-03-24,19.566484,948400
2016-03-28,20.007170,935100
2016-03-29,20.428272,1402800
2016-03-30,21.006062,2382000
2016-03-31,20.624130,2008600
2016-04-01,20.467443,1438000
2016-04-04,20.438065,1144300
2016-04-05,20.203030,986400
2016-04-06,20.604548,1341700
2016-04-07,20.761234,1442400
2016-04-08,20.819992,1258600
2016-04-11,20.819992,966100
2016-04-12,20.898338,924000
2016-04-13,21.201921,948800
2016-04-14,20.976681,963900
2016-04-15,20.320547,1794500
2016-04-18,20.418478,1435700
2016-04-19,19.879860,1427000
2016-04-20,19.811310,1681800
2016-04-21,19.390209,1293500
2016-04-22,19.478346,830500
2016-04-25,19.448969,583400
2016-04-26,19.732964,898800
2016-04-27,19.909241,891300
2016-04-28,19.576277,676300
2016-04-29,19.517519,699700
2016-05-02,19.311863,2631200
2016-05-03,19.302071,2382000
2016-05-04,19.067039,2090600
2016-05-05,18.107323,8734000
2016-05-06,18.097528,1580100
2016-05-09,17.980013,1208600
2016-05-10,18.048563,1026300
